Name,Gender
prasanti,f
haswanth vinay,m
sri lakshmi durga bhavani,f
venkata naga durga mani ratna naresh,m
devanth,m
latha,f
manisha,f
vaishnavi,f
nanditha,f
sri ranga satya swarupa,f
akshaya venkata naga ratna sri,f
likhitha,f
laxmi durga,f
chittibabu,m
nava deep,m
sai venkata kartheek,m
venu,m
geeta srichakra navya,f
pawan ram charan,m
sahithi,f
saimanideep,m
kusu kumar,m
lava kumar,m
santhi surya prakash,m
prasanthi,f
harshini,f
srijakshi,f
naga manoj,m
mahalakshmi,f
dharmendra,m
surya jagaadesh,m
hemini saraswathi,f
karthika,f
satya dheekshita,f
sindhu,f
philip,m
karthik,m
deepika,f
vamsi,m
siddharth,m
vasanth,m
sanvi,f
venkata ramana,m
mokshagna,m
srisatya durga,f
satyaanilkumar,m
vinod kumar,m
chaitanya babu,m
sanjana,f
susmitha,f
blessi,f
susanna,f
hemanth,m
joshna priya,f
priyankayaji,f
sravya,f
sunny,m
navaneeth,m
sri gouri,f
santosh,m
meghana,f
srija,f
rajesh,m
deekshika,f
bangaram,f
naga rama satyanarayana,m
tejaswini,f
sai durga poornima,f
venukasri,f
gopala krishna,m
krishna,f
vidya sri,f
manasa,f
mounika,f
sharmila,f
varunteja,m
vijay,m
veerendra,m
sri lakshmi satya durga,f
sharon roja,f
mahesh,m
deepthi,f
akira deepak manothra,f
manikanta eswar,m
purnachandu,m
roshini naga durga,f
tanuskha,f
maneesha,f
srivalli,f
vijayalakshmi,f
tagore kumar,m
joshna,f
santosh manikanta,m
veda vinod kumar,m
harshith,m
veera venkata satya vinay,m
dhyana deepika,f
manikanta,m
sri satya durga,f
raju kumar,m
dindi sri,f
johndharson,m
b v s s n g durga tarun,m
maha naga satya,m
raghu,m
uday,m
prabhu sandeep,m
sahira,f
angelee,f
baby salini,f
lalitha,f
jyoshna sri,f
sindhu sri,f
raja keerthana,f
jurrakartheek,m
akshitha,f
lasya,f
ramya,f
jayadev,m
chaitra vardhana,f
bennykumar,m
navya sruthi sriya,f
sandeep,m
sekhar,m
kranthi kumar,m
charan satya teja,m
vijay satya surya,m
elizabeth rani,f
guna sagar,m
sree durga,f
ramya sri,f
karunakar,m
teja sri satya sai lakshmi,f
mahi,m
john wesly,m
hema bala deepika,f
rekha sri nandhini,f
dhana sri,f
suneetha rani,f
divya,f
mohan sai,m
bhargava murali krishna,m
satya sai sunil,m
gokul venkat,m
praveen,m
chaithanya reddy,m
swarupa,f
lakshmi durga,f
anand kumar,m
lakshmi priya,f
abhiram,m
kusi naga rajeswari,f
nandu,m
spondhana,f
jnaneswar,m
pardhu,m
satya sri,f
manvik,m
prem,m
mounica,f
shyam babu,m
nikhil,m
arunasri,f
jayasri,f
veera bhadra dhanush,m
akanksha,f
nirmala,f
vennela,f
harshitha sri raghava amrutha,f
nishika sushma,f
sushmitha,f
sathish,m
indira,f
gopika lakshmi,f
aswanth,m
anil,m
akshit,m
abhishek,m
maha lakshmi,f
satya nagendra kumar,m
yejieeth ravi sai,m
kiran,m
satya durga,f
dinesh satya prakash,m
iswarya,f
rakshith benny,m
abhinash,m
harsha vardhan,m
sagar,m
leela naga sri,f
gayatri grishmanth surya,m
veni sree,f
josubhram,m
rohit satya sri rama murthy,m
deepak,m
naga surya siva marthandeya,m
durga prasad,m
sri vijaya veera varshini,f
jessica,f
keerthana,f
harika,f
baby,f
syam teja,m
bhavya sr vyshnavi,f
naga chaitanya,m
pattabhi,m
santosh kumar,m
santhosh,m
satya sai lakshmi,f
yasvanth kumar,m
akhila,f
likit sai prakash,m
maheswari,f
akshitha naga sai indu,f
karuna sri,f
chandini,f
praveen kumar,m
radha shalini,f
satya nagendra,m
ajay,m
ishwarya,f
akhil,m
amulya,f
harsha,m
nagendra babu,m
nani,m
chintu,m
durga bhavani,f
abhi,m
bala veera venkateswari,f
ramu,m
